date,equity,daily_return,drawdown,num_positions
2022-12-23,99724.55168308629,-0.000511,-0.00596,1
2022-12-27,99678.56147159947,-0.000461,-0.006419,1
2022-12-28,99682.97169269933,4.4e-05,-0.006375,1
2022-12-29,99780.62164463414,0.00098,-0.005401,1
2022-12-30,99865.04165424718,0.000846,-0.00456,1
2023-01-03,99574.61161579503,-0.002908,-0.007455,0
2023-01-04,99569.84161579503,-4.8e-05,-0.007502,0
2023-01-05,99569.84161579503,0.0,-0.007502,0
2023-01-06,99569.84161579503,0.0,-0.007502,0
2023-01-09,99569.84161579503,0.0,-0.007502,0
2023-01-10,99569.84161579503,0.0,-0.007502,0
2023-01-11,99569.84161579503,0.0,-0.007502,1
2023-01-12,99706.76156177891,0.001375,-0.006138,1
2023-01-13,99857.80186787022,0.001515,-0.004632,1
2023-01-17,100281.42143574131,0.004242,-0.000409,1
2023-01-18,100060.76156177891,-0.0022,-0.002609,1
2023-01-19,99892.02152576817,-0.001686,-0.004291,1
2023-01-20,100262.54190388096,0.003709,-0.000598,1
2023-01-23,100466.68139973057,0.002036,0.0,1
2023-01-24,100628.34172382725,0.001609,0.0,1
2023-01-25,100574.06183185948,-0.000539,-0.000539,1
2023-01-26,100474.94136371983,-0.000986,-0.001524,1
2023-01-27,100821.86165180577,0.003453,0.0,1
2023-01-30,100120.26955486668,-0.006959,-0.006959,1
2023-01-31,100219.30955486668,0.000989,-0.005976,1
2023-02-01,100467.54911404026,0.002477,-0.003514,1
2023-02-02,100738.25979977024,0.002695,-0.000829,1
2023-02-03,100897.68957119358,0.001583,0.0,1
2023-02-06,100546.72970180881,-0.003478,-0.003478,1
2023-02-07,100736.11934261692,0.001884,-0.001601,1
2023-02-08,100451.49976711643,-0.002825,-0.004422,1
2023-02-09,100361.61934261692,-0.000895,-0.005313,1
2023-02-10,100289.92953853977,-0.000714,-0.006024,1
2023-02-13,100757.51983242405,0.004662,-0.001389,1
2023-02-14,100744.67953853977,-0.000127,-0.001516,1
2023-02-15,100681.54911404026,-0.000627,-0.002142,1
2023-02-16,100522.11934261692,-0.001584,-0.003722,1
2023-02-17,100548.86934261692,0.000266,-0.003457,1
2023-02-21,100403.3492773093,-0.001447,-0.004899,1
2023-02-22,100381.94960384739,-0.000213,-0.005112,1
2023-02-23,101017.66200205601,0.006333,-0.007693,1
2023-02-24,101134.90229807651,0.001161,-0.006541,1
2023-02-27,101071.85215006626,-0.000623,-0.00716,1
2023-02-28,101276.52220927036,0.002025,-0.00515,1
2023-03-01,101399.7118836478,0.001216,-0.00394,1
2023-03-02,101274.58253489292,-0.001234,-0.005169,1
2023-03-03,101495.74241648472,0.002184,-0.002996,1
2023-03-06,101360.91247568882,-0.001328,-0.004321,1
2023-03-07,101285.25259409702,-0.000746,-0.005064,1
2023-03-08,101482.16247568882,0.001944,-0.00313,1
2023-03-09,101004.92191324985,-0.004703,-0.007818,1
2023-03-10,100447.17191324985,-0.005522,-0.013297,1
2023-03-13,100591.70244608677,0.001439,-0.011877,1
2023-03-14,100873.00259409702,0.002796,-0.009114,1
2023-03-15,100758.54256449497,-0.001135,-0.010238,1
2023-03-16,100891.43209086216,0.001319,-0.008933,1
2023-03-17,100619.34706126011,-0.002697,-0.011605,1
2023-03-20,100788.61232767857,0.001682,-0.009943,1
2023-03-21,100841.9618836478,0.000529,-0.009418,1
2023-03-22,100717.802002056,-0.001231,-0.010638,1
2023-03-23,100669.302002056,-0.000482,-0.011115,1
2023-03-24,100756.60215006626,0.000867,-0.010257,1
2023-03-27,100869.12250529087,0.001117,-0.009152,1
2023-03-28,100754.66247568882,-0.001135,-0.010276,1
2023-03-29,100650.87250529087,-0.00103,-0.011296,1
2023-03-30,100665.42191324985,0.000145,-0.011153,1
2023-03-31,100855.54256449497,0.001889,-0.009285,1
2023-04-03,100802.19226847446,-0.000529,-0.009809,1
2023-04-04,101000.07235728062,0.001963,-0.007865,1
2023-04-05,100544.17191324985,-0.004514,-0.012344,1
2023-04-06,100605.28238688267,0.000608,-0.011743,1
2023-04-10,100564.54256449497,-0.000405,-0.012144,1
2023-04-11,100431.65229807651,-0.001321,-0.013449,1
2023-04-12,100307.49241648472,-0.001236,-0.014669,1
2023-04-13,100325.92191324985,0.000184,-0.014488,1
2023-04-14,99934.04256449497,-0.003906,-0.018337,1
2023-04-17,100264.81217966831,0.00331,-0.015088,1
2023-04-18,100415.16247568882,0.0015,-0.013611,1
2023-04-19,100553.87250529087,0.001381,-0.012248,1
2023-04-20,101177.58253489292,0.006203,-0.006122,1
2023-04-21,102116.54256449497,0.00928,0.0,1
2023-04-24,101853.67191324985,-0.002574,-0.002574,0
2023-04-25,101843.92191324985,-9.6e-05,-0.00267,1
2023-04-26,101595.93191324985,-0.002435,-0.005098,1
2023-04-27,101461.53188883579,-0.001323,-0.006414,1
2023-04-28,101501.53188883579,0.000394,-0.006023,1
2023-05-01,101401.53188883579,-0.000985,-0.007002,1
